Word,Count
*,1691
the,329
OF,280
OR,245
and,234
of,199
in,158
-,143
this,140
AND,140
ANY,140
to,132
****************************************************************************,116
***********************************************************************,116
with,113
THE,105
Atmel,105
following,105
conditions,105
IN,105
code,88
be,84
or,79
other,74
are,73
provided,71
use,71
above,71
list,70
THIS,70
may,70
binary,70
ATMEL,70
NOT,70
software,70
source,70
copyright,70
without,70
disclaimer,70
\notice,\,70
IMPLIED,70
Redistributions,70
BUT,70
\LIABILITY,\,70
LIMITED,70
FOR,70
\TO,\,70
used,70
must,70
,66
is,53
from,46
not,45
an,44
1,40
Register,39
2,37
IF,36
The,36
that,36
All,36
This,36
(license.txt),35
3,35
subject,35
USE,35
\(INCLUDING,\,35
permission,35
PURPOSE,35
permitted,35
ARISING,35
documentation,35
PROCUREMENT,35
BE,35
BUSINESS,35
ON,35
OUT,35
product,35
2014-03-18,35
HOWEVER,35
Atmel's,35
GOODS,35
THEORY,35
Agreement,35
prior,35
\brief,35
OTHERWISE),35
name,35
\file,35
met:,35
WARRANTIES,35
(INCLUDING,35
@brief,35
PROVIDED,35
NO,35
EXPRESS,35
written,35
EVENT,35
(C),35
\2012-2014,\,35
PARTICULAR,35
redistributed,35
ataradov,35
\"\AS\,35
materials,35
WAY,35
BY,35
Modification,35
\DIRECT,\,35
\CONTRACT,\,35
products,35
Copyright,35
9267,35
POSSIBILITY,35
STRICT,35
ADVISED,35
WHETHER,35
Limited,35
\EXEMPLARY,\,35
form,35
SUCH,35
Corporation,35
INTERRUPTION),35
ARE,35
$Id:,35
\forms,\,35
DAMAGE,35
A,35
Redistribution,35
NEGLIGENCE,35
NON-INFRINGEMENT,35
microcontroller,35
CAUSED,35
\MERCHANTABILITY,\,35
only,35
EVEN,35
\INCLUDING,\,35
$,35
\modification,\,35
\INDIRECT,\,35
LIABLE,35
SOFTWARE,35
SUBSTITUTE,35
reproduce,35
\USE,\,35
\INCIDENTAL,\,35
\asf_license_start,35
retain,35
PROFITS;,35
FITNESS,35
SPECIFICALLY,35
promote,35
\SPECIAL,\,35
IS,35
\SOFTWARE,\,35
21:46:19Z,35
\IS"\\,35
rights,35
LOSS,35
\DATA,\,35
derived,35
endorse,35
and/or,35
EXPRESSLY,35
DAMAGES,35
4,35
\asf_license_stop,35
DISCLAIMED,35
SHALL,35
\WARRANTIES,\,35
distribution,35
specific,35
TORT,35
reserved,35
connection,35
SERVICES;,35
CONSEQUENTIAL,35
License,35
---------------------------------------------------------------,34
a,34
Includes,34
Transceiver,32
Control,32
Enable,26
Prototypes,23
-------------------------------------------------------------,23
for,23
Interrupt,21
Status,21
frame,19
------------------------------------------------------------,17
@param[in],17
Types,17
------------------------------------------------------------------,17
Definitions,17
status,16
interface,16
implementation,16
Frame,16
Implementations,16
--------------------------------------------------------,16
byte,15
Args:,14
Function:,14
on,14
Variables,14
if,14
--------------------------------------------------------------,14
Returns:,14
data,13
@c,13
@a,13
Pointer,12
send,12
int,12
group,12
Mode,11
Initializes,11
unsigned,11
-----------,11
NACK,11
Start,11
buffer,10
char,10
bit,10
routines,9
Receiver,9
module,9
layer,9
otherwise,9
Data,9
Author:,8
TWI,8
parameters,8
@return,8
Network,8
Camden,8
Measurement,8
Created:,8
ms,8
handler,7
\success,\,7
\code,\,7
network,7
ID,7
Function,7
values,7
Acknowledgment,7
USART0,7
request,7
CCA,7
success,7
node,6
Smart,6
Note:,6
received,6
Address,6
busy,6
bytes,6
Monitor,6
Receiving,6
Antenna,6
Battery,6
sure,6
void,6
PLL,6
ACK,6
false,6
value,5
req,5
Registers,5
Voltage,5
management,5
If,5
#define,5
Channel,5
Transmit,5
Select,5
Calibration,5
receive,5
Set,5
System,5
Receive,5
Return,5
Filter,5
true,5
task,5
0,5
over,5
store,4
Sensitivity,4
*-,4
return,4
NWK_ENABLE_MULTICAST,4
Threshold,4
Diversity,4
set,4
Main,4
AGC,4
Test,4
read,4
here,4
through,4
Number,4
ready,4
Group,4
production,4
External,4
contains,4
as,4
last,4
USART,4
bits,4
ATmega256rfr2,4
state,4
Signal,4
2/7/2015,4
timer,4
NWK_ENABLE_SECURITY,4
simplicity,3
NULL,3
Switch,3
ending,3
when,3
NWK_ENABLE_ROUTING,3
compiler,3
<<,3
Gain,3
partway,3
Send,3
sys.c,3
system,3
Identification,3
Route,3
Security,3
out,3
frames,3
Power,3
Receives,3
at,3
Exponent,3
Back-off,3
Regulator,3
FILE,3
NWK_ENABLE_ROUTE_DISCOVERY,3
stdout,3
Routing,3
Maximum,3
loops,3
check,3
will,3
command,3
=,3
Miller,3
Module,3
Random,3
Not,3
counter,3
returns,3
TWI_REC_NACK,3
Oscillator,3
ED,3
no,3
8,3
ATMEGAxxxRFR2,3
Crystal,3
Request,3
(1,3
Operating,3
debugging,3
it,3
CSMA-CA,3
TWI_REC_ACK,3
sets,3
Sets,3
number,3
until,3
Value,3
Device,3
first,3
Level,3
UCSR0B,3
application,2
nwkRouteDiscovery.c,2
nwkTx.c,2
Seed,2
Does,2
loop,2
End,2
Delay,2
Center,2
Awake,2
wireless,2
nwkRx.c,2
sysTimer.c,2
sysTypes.h,2
Frames,2
Extended,2
queue,2
Setting,2
Tuning,2
Adds,2
Area,2
