File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\ATMOS.c,23,15,4,1,5,0,3,21,0,0
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\common.h,16,5,0,0,5,1,6,14,6,12
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\config.h,13,3,0,0,4,1,6,14,6,12
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\drivers\TWI.c,190,70,55,23,21,24,99,581,9,21
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\drivers\usart0.c,128,31,22,6,14,6,83,419,10,24
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\hal\atmega256rfr2\inc\hal.h,59,6,2,0,6,1,47,310,45,303
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\hal\atmega256rfr2\inc\halGpio.h,65,13,8,0,5,1,47,310,45,303
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\hal\atmega256rfr2\inc\halTimer.h,64,8,3,0,7,2,49,317,45,303
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\hal\atmega256rfr2\src\hal.c,75,16,9,0,8,0,51,315,46,306
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\hal\atmega256rfr2\src\halTimer.c,93,26,16,2,12,3,55,331,46,306
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\inc\util.h,79,63,0,0,15,4,1,21,0,0
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\include\devices\BMP280.h,16,3,0,0,7,1,6,13,6,11
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\include\drivers\TWI.h,49,33,0,0,7,1,9,28,6,11
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\include\drivers\usart0.h,29,13,6,0,8,4,8,33,7,14
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\nwk\inc\nwk.h,112,48,23,0,14,2,50,322,45,304
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\nwk\inc\nwkCommand.h,98,42,28,0,9,1,47,310,45,303
C:\Users\Camden\Documents\Atmel Studio\6.2\ATMOS\ATMOS\nwk\inc\nwkDataReq.h,98,37,21,0,10,1,51,318,45,302
